Hindi,Transliteration
क़तरे,tarê
भाव-गीत,bhāvagīt
क़तल,tal
क़तले,talê
अंतःस्वत्व,antḥ śvatv
ऑस्ट्रेलिया,awśṭrêliyā
ऑस्ट्रेलियाएँ,awśṭrêliyāan̐
ऑस्ट्रेलियाओं,awśṭrêliyāon
भगोहाँ,bhagôhān̐
कलित,kalit
विकलित,vikalit
न्यायासन,nyāyāśan
कटड़ा,kaaṭā
कटड़े,kaaṭê
कटड़ों,kaaṭôn
कटड़ी,kaaṭī
उदरपिशाच,udarapishāc
सुस्तना,śuśtanā
सुस्तनी,śuśtanī
लाड़दुलार,lādulār
मैदानवास,maidānavāś
मैदानवासी,maidānavāśī
मैदानवासिनी,maidānavāśinī
मैदानवासियों,maidānavāśiyôn
ओहार,ohār
ओहारों,ohārôn
उपहासास्पदत,upahāśāśpadat
गोसर्प,gôśarp
वर्णलोप,varṇalôp
गजमुख,gajamukh
गजमुखों,gajamukhôn
झालवा,jhālavā
झालवाइयो,jhālavāeyô
झालवावे,jhālavāvê
झालवाई,jhālavāi
झालवाकर,jhālavākar
झालवाना,jhālavānā
झालवाने,jhālavānê
झालवाता,jhālavātā
झालवाती,jhālavātī
झालवाते,jhālavātê
झालवाए,jhālavāa
झालवाएगा,jhālavāagā
झालवाएगी,jhālavāagī
झालवाएँगीं,jhālavāan̐gīn
झालवाएँगे,jhālavāan̐gê
झालवाऊँ,jhālavāoon̐
झालवाऊँगा,jhālavāoon̐gā
झालवाऊँगी,jhālavāoon̐gī
झालवाऊँगीं,jhālavāoon̐gīn
झालवाइए,jhālavāea
झालवाइएगा,jhālavāeagā
झालवाइएगी,jhālavāeagī
झालवाओ,jhālavāo
झालवाओगे,jhālavāogê
झालवाओगी,jhālavāogī
तत्संबधी,tatśnbdahī
कुलगिरि,kulagiri
जिम्बाबवे,jimbābavê
जातिसंकर,jātiśnkar
कॉक्स,kŏkś
कलिल,kalil
कलिलों,kalilôn
कुलिंडक,kulinḍak
सौंदर्य-प्रसाधिका,śaundaryapraśādhikā
जम्हूर,jamhūr
ठुमक,ṭhumak
ठुमकियो,ṭhumakiyô
ठुमको,ṭhumakô
ठुमकोगे,ṭhumakôgê
ठुमकोगी,ṭhumakôgī
ठुमके,ṭhumakê
ठुमकेगी,ṭhumakêgī
ठुमकेगा,ṭhumakêgā
ठुमकें,ṭhumakên
ठुमकेंगे,ṭhumakêngê
ठुमकेंगें,ṭhumakêngên
ठुमकेंगी,ṭhumakêngī
ठुमकेंगीं,ṭhumakêngīn
ठुमकूँ,ṭhumakūn̐
ठुमकूँगी,ṭhumakūn̐gī
ठुमकूँगा,ṭhumakūn̐gā
ठुमकी,ṭhumakī
ठुमकीं,ṭhumakīn
ठुमकिए,ṭhumakia
ठुमकिएगी,ṭhumakiagī
ठुमकिएगा,ṭhumakiagā
ठुमकने,ṭhumakanê
ठुमकना,ṭhumakanā
ठुमकते,ṭhumakatê
ठुमकती,ṭhumakatī
ठुमकतीं,ṭhumakatīn
ठुमकता,ṭhumakatā
ठुमकों,ṭhumakôn
ठुमका,ṭhumakā
ध्यानावस्था,dhyānāvaśthā
घिसाव,ghiśāv
विद्यावृद्ध,vidyāvriddh
प्रातिभासिक,prātibhāśik
व्यवस्थीय,vyavaśthīy
पाकशाला,pāksahālā
पाकशालाएँ,pāksahālāan̐
पाकशालाओं,pāksahālāon
थैल्लियम,thailliyam
भांजना,bhānjanā
एस्पर्गर,aśpargar
आपचारी,aapacārī
भुजंगिनी,bhujnginī
सुगढ़,śug
सुगढ़ता,śugatā
अनमरा,anamarā
अनमरी,anamarī
फ़िकरेबाज़,ikarêbā
सज्दागुजार,śajdāgujār
श्वासयुक्त,shvāśayukt
कलभाषी,kalbahāshhī
कपिरथ,kapirtah
वधुटी,vdahuṭī
प्रशाखीय,prsahākhīy
अब्धिफेन,abdhifên
मिकदार,mikadār
मिकदारें,mikadārên
मिकदारों,mikadārôn
दिव्यस्त्री,divyaśtrī
अतीतावस्था,atītāvaśthā
मृतजीव,mritajīv
मृतजीवी,mritajīvī
अपवर्जक,apavarjak
मोतिया-बिंद,môtiyābind
भतीजावादियों,bhatījāvādiyôn
गुजारना,gujāranā
गुजारनी,gujāranī
गुजारने,gujāranê
हौलीवुड,haulīvuḍ
भतेरा,bhatêrā
निदिध्यास,nididhyāś
कार्यपदवी,kāryapadavī
रेगुलर,rêgular
गोलाध्याय,gôlādhyāy
पीआ,pīaa
घोचिल,ghôcil
डिस्पेंसरी,ḍiśpênśarī
डिस्पेंसरियाँ,ḍiśpênśariyān̐
डिस्पेंसरिओं,ḍiśpênśarion
परिज्ञाता,parijñaātā
अपरिज्ञाता,aparijñaātā
अन्वयसहित,anvayaśahit
पीई,pīi
ब्रिटीश-अंग्रेजी,briṭīshangrêjī
अंगसिहरी,angaśiharī
आनर्त्तनगरी,aanarttanagarī
बिरियाँ,biriyān̐
मेदस्वी,mêdaśvī
देवतागार,dêvatāgār
सुरासंधान,śurāśndhān
शत्रु-पक्ष,shatrupakshh
शत्रु-पक्षों,shatrupakshhôn
पीए,pīa
डीबगिंग,ḍībaging
चतुर्थांशिक,caturthānshik
हाथपिसा,hāthapiśā
अबाइयांग,abāeyāng
अंबुशायी,anbushāyī
मोक्षदान,môkshhadān
अपवर्जन,apavarjan
अपवर्जनों,apavarjanôn
ध्वंश,dhvnsh
ध्वंस,dhvnś
विध्वंस,vidhvnś
ध्वंसों,dhvnśôn
ध्वंसी,dhvnśī
विध्वंसों,vidhvnśôn
विध्वंसी,vidhvnśī
वृतिंकर,vritinkar
रंञ्जित,rnñajit
पीक,pīk
पीकता,pīkatā
पीकियो,pīkiyô
पीको,pīkô
पीकोगे,pīkôgê
पीकोगी,pīkôgī
पीके,pīkê
पीकेगी,pīkêgī
पीकेगा,pīkêgā
पीकें,pīkên
पीकेंगे,pīkêngê
पीकेंगें,pīkêngên
पीकेंगी,pīkêngī
पीकेंगीं,pīkêngīn
पीकूँ,pīkūn̐
पीकूँगी,pīkūn̐gī
पीकूँगा,pīkūn̐gā
पीकी,pīkī
पीकीं,pīkīn
पीकिए,pīkia
पीकिएगी,pīkiagī
पीकिएगा,pīkiagā
पीकने,pīkanê
पीकना,pīkanā
पीकते,pīkatê
पीकती,pīkatī
पीकतीं,pīkatīn
पीकों,pīkôn
परंतुकों,parntukôn
ग्रहपथीय,grahaptahīy
सिखतड़पन,śikhaatapan
संकोष्ठक,śnkôshhṭhak
आछै,aachai
पशुमात्र,psahumātr
सांत्वनाहीन,śāntvanāhīn
सांत्वनाहीनता,śāntvanāhīnatā
बिखरेना,bikharênā
खञ्जरी,khñaajarī
गजमनि,gajamani
चकलई,cakali
पीच,pīc
पीचों,pīcôn
पीचे,pīcê
धूर्वी,dhūrvī
आछौ,aachau
स्वघोष,śvgahôshh
पीछ,pīch
पीछों,pīchôn
पीछा,pīchā
पीछे,pīchê
अनुत्पादक,anutpādak
अनुत्पादकता,anutpādakatā
अनुत्पादकों,anutpādakôn
खलाना,khalānā
सब्ज़पोश,śabpôsh
पीट,pīṭ
पीटियो,pīṭiyô
पीटो,pīṭô
पीटोगे,pīṭôgê
पीटोगी,pīṭôgī
पीटे,pīṭê
पीटेगी,pīṭêgī
पीटेगा,pīṭêgā
पीटें,pīṭên
पीटेंगे,pīṭêngê
पीटेंगें,pīṭêngên
पीटेंगी,pīṭêngī
पीटेंगीं,pīṭêngīn
पीटूँ,pīṭūn̐
पीटूँगी,pīṭūn̐gī
पीटूँगा,pīṭūn̐gā
पीटी,pīṭī
पीटीं,pīṭīn
पीटिए,pīṭia
पीटिएगी,pīṭiagī
पीटिएगा,pīṭiagā
पीटने,pīṭanê
पीटना,pīṭanā
पीटते,pīṭatê
पीटती,pīṭatī
पीटतीं,pīṭatīn
पीटता,pīṭatā
पीटकर,pīṭakar
पीटा,pīṭā
सम्मुखागत,śammukhāgat
पीठ,pīṭh
पीठों,pīṭhôn
पीठा,pīṭhā
पीठी,pīṭhī
पीठे,pīṭhê
निछल,nichal
निछला,nichalā
सुरक,śurak
सुरकियो,śurakiyô
सुरको,śurakô
सुरकोगे,śurakôgê
सुरकोगी,śurakôgī
सुरके,śurakê
सुरकेगी,śurakêgī
सुरकेगा,śurakêgā
सुरकें,śurakên
सुरकेंगे,śurakêngê
सुरकेंगें,śurakêngên
सुरकेंगी,śurakêngī
सुरकेंगीं,śurakêngīn
सुरकूँ,śurakūn̐
सुरकूँगी,śurakūn̐gī
सुरकूँगा,śurakūn̐gā
सुरकी,śurakī
सुरकीं,śurakīn
सुरकिए,śurakia
सुरकिएगी,śurakiagī
सुरकिएगा,śurakiagā
सुरकने,śurakanê
सुरकना,śurakanā
सुरकते,śurakatê
सुरकती,śurakatī
सुरकतीं,śurakatīn
सुरकता,śurakatā
सुरकों,śurakôn
पायनियर,pāyaniyar
कौलिया,kauliyā
बेआवाज़,bêaavā
बेआवाज़ी,bêaavāī
थप्पियाँ,thappiyān̐
आइलर,aaelar
टलुआ,ṭaluaa
सुरग,śurag
सुरगी,śuragī
शस्त्रचिह्नाधिकारी,shaśtracihnādhikārī
नरकभूमि,narakbahūmi
कैलंडर,kailnḍar
कैलंडरी,kailnḍarī
मसलिन,maśalin
विषाणिका,vishhāṇikā
रोंबूले,rônbūlê
पीत,pīt
पीतता,pītatā
पीतों,pītôn
पीता,pītā
पीती,pītī
पीते,pītê
शाहकार,shāhakār
पीथ,pīth
अंशक,anshak
अंशकों,anshakôn
क्वालिफ़ाइड,kvāliāeḍ
सुरज,śuraj
सुरजा,śurajā
सनंक,śannk
शुल्क-नाका,shulkanākā
पीन,pīn
पीनता,pīnatā
पीनों,pīnôn
पीना,pīnā
पीनी,pīnī
पीने,pīnê
असृग्पात,aśrigpāt
धारयंत्र,dhārayntr
ब्रैडॉक,braiḍŏk
पीप,pīp
पीपें,pīpên
पीपों,pīpôn
पीपा,pīpā
पीपी,pīpī
पीपे,pīpê
ताजिया,tājiyā
ताजिये,tājiyê
ताजियों,tājiyôn
लमगोड़,lamagô
लमगोड़ा,lamagôā
अकार्डियन,akārḍiyan
एकडंडा,akaḍnḍā
एलकेशी,alakêshī
पीब,pīb
पीबों,pībôn
पीबी,pībī
भण्डीतकी,bhaṇḍītakī
आचमन,aacaman
आचमनी,aacamanī
आचमनों,aacamanôn
आजमाइश,aajamāesh
आजमाइशों,aajamāeshôn
आजमाइशी,aajamāeshī
वैडनेसडे,vaiḍanêśaḍê
कालदत्त,kāladatt
अनुत्पादन,anutpādan
हँकवा,hn̐kavā
हँकवाइयो,hn̐kavāeyô
हँकवावे,hn̐kavāvê
हँकवाई,hn̐kavāi
हँकवाकर,hn̐kavākar
हँकवाना,hn̐kavānā
हँकवाने,hn̐kavānê
हँकवाता,hn̐kavātā
हँकवाती,hn̐kavātī
हँकवाते,hn̐kavātê
हँकवाए,hn̐kavāa
हँकवाएगा,hn̐kavāagā
हँकवाएगी,hn̐kavāagī
हँकवाएँगीं,hn̐kavāan̐gīn
हँकवाएँगे,hn̐kavāan̐gê
हँकवाऊँ,hn̐kavāoon̐
हँकवाऊँगा,hn̐kavāoon̐gā
हँकवाऊँगी,hn̐kavāoon̐gī
हँकवाऊँगीं,hn̐kavāoon̐gīn
हँकवाइए,hn̐kavāea
हँकवाइएगा,hn̐kavāeagā
हँकवाइएगी,hn̐kavāeagī
हँकवाओ,hn̐kavāo
हँकवाओगे,hn̐kavāogê
हँकवाओगी,hn̐kavāogī
पीय,pīy
पीया,pīyā
पीये,pīyê
झड़ाझड़,jhājh
झड़ाझड़ी,jhājhī
सुरत,śurat
सुरतों,śuratôn
सुरता,śuratā
सुरती,śuratī
पीर,pīr
बेपीर,bêpīr
सुरथ,śurtah
सुरथा,śurtahā
नौरत्न,nauratn
नौरत्नों,nauratnôn
पैरोडीकार,pairôḍīkār
अनंतरित,anntarit
पील,pīl
पीलों,pīlôn
पीला,pīlā
पीली,pīlī
पीले,pīlê
रन-अप,raanap
तरजौहीं,tarajauhīn
पीव,pīv
पीवों,pīvôn
पीवा,pīvā
पीवी,pīvī
सुरप,śurap
भिगोई,bhigôi
अंशत,anshat
अंशता,anshatā
सतृट,śatriṭ
पंचयज्ञ,pncayajña
पीस,pīś
पीसियो,pīśiyô
पीसो,pīśô
पीसोगे,pīśôgê
पीसोगी,pīśôgī
पीसे,pīśê
पीसेगी,pīśêgī
पीसेगा,pīśêgā
पीसें,pīśên
पीसेंगे,pīśêngê
पीसेंगें,pīśêngên
पीसेंगी,pīśêngī
पीसेंगीं,pīśêngīn
पीसूँ,pīśūn̐
पीसूँगी,pīśūn̐gī
पीसूँगा,pīśūn̐gā
पीसी,pīśī
पीसीं,pīśīn
पीसिए,pīśia
पीसिएगी,pīśiagī
पीसिएगा,pīśiagā
पीसने,pīśanê
पीसना,pīśanā
पीसते,pīśatê
पीसती,pīśatī
पीसतीं,pīśatīn
पीसता,pīśatā
पीसकर,pīśakar
पीसों,pīśôn
पीसा,pīśā
पीह,pīh
पीहों,pīhôn
पीहा,pīhā
पीही,pīhī
पीहे,pīhê
विवेचक,vivêcak
विवेचकता,vivêcakatā
अंशन,anshan
अंशनों,anshanôn
अकोट,akôṭ
अकोटों,akôṭôn
चटकदार,caṭakadār
अंगुलप्रमाण,angulapramāṇ
सुरल,śural
सुरला,śuralā
परिपाचिका,paripācikā
अतिकाय,atikāy
जीडी,jīḍī
कल्प-वृक्ष,kalpavrikshh
स्टैंडर्ड्‌स,śṭainḍarḍś
सुरव,śurav
सुरवा,śuravā
अतिकाल,atikāl
सुरश,śursah
शैया,shaiyā
जातिज्यूत,jātijyūt
जहाँबी,jahān̐bī
ऑलिवर,awlivar
अनेक,anêk
अनेकता,anêkatā
अनेकों,anêkôn
लवाजमात,lavājamāt
आलिंग,aaling
आलिंगी,aalingī
सुरस,śuraś
सुरसता,śuraśatā
सुरसों,śuraśôn
सुरसा,śuraśā
सुरसे,śuraśê
अंशल,anshal
अनेग,anêg
झईं,jhin
समष्रि,śamshahri
अकोप,akôp
पधा,pdahā
अनुपधा,anupdahā
एनेस्थेटिक्स,anêśthêṭikś
धर्मानुसरण,dharmānuśaraṇ
सत्यकेतु,śatyakêtu
रैटिफिकेशन,raiṭifikêshan
उपलब्ध्,upalabdh
ऊंचाई,ooncāi
ऊंचाइओं,ooncāeon
ऊंचाइयाँ,ooncāeyān̐
चुलबुलापन,culabulāpan
चुलबुलापनों,culabulāpanôn
सुरि,śuri
नन्दोसी,nandôśī
यौद्ध,yauddh
अकोर,akôr
अकोरी,akôrī
अलकराशि,alakarāshi
प्रकच,prakac
विवेचन,vivêcan
विवेचनों,vivêcanôn
विवेचना,vivêcanā
जारजन्मा,jārajanmā
अकोल,akôl
अकोला,akôlā
अकोली,akôlī
मानसूचक,mānaśūcak
सतृष,śatrishh
अधिवाची,adhivācī
महाधर्माधिकारी,mahādharmādhikārī
जनमार्ग,janamārg
लंकपति,lnkapati
मुग्धमति,mugdhamati
छनाना,chanānā
प्रकट,prakaṭ
प्रकटियो,prakaṭiyô
प्रकटो,prakaṭô
प्रकटोगे,prakaṭôgê
प्रकटोगी,prakaṭôgī
प्रकटे,prakaṭê
प्रकटेगी,prakaṭêgī
प्रकटेगा,prakaṭêgā
प्रकटें,prakaṭên
प्रकटेंगे,prakaṭêngê
प्रकटेंगें,prakaṭêngên
प्रकटेंगी,prakaṭêngī
प्रकटेंगीं,prakaṭêngīn
प्रकटूँ,prakaṭūn̐
प्रकटूँगी,prakaṭūn̐gī
प्रकटूँगा,prakaṭūn̐gā
प्रकटी,prakaṭī
प्रकटीं,prakaṭīn
प्रकटिए,prakaṭia
प्रकटिएगी,prakaṭiagī
प्रकटिएगा,prakaṭiagā
प्रकटने,prakaṭanê
प्रकटना,prakaṭanā
प्रकटते,prakaṭatê
प्रकटती,prakaṭatī
प्रकटतीं,prakaṭatīn
प्रकटता,prakaṭatā
प्रकटकर,prakaṭakar
प्रकटा,prakaṭā
प्रकटों,prakaṭôn
आलिंद,aalind
आनंदाश्रु,aanndāshru
जडैल,jaḍail
बंधकन,bndhakan
तिक्त,tikt
तिक्तता,tiktatā
तिक्तों,tiktôn
तिक्ता,tiktā
प्रकण,prakaṇ
भरदुल,bharadul
चिनगना,cinaganā
सहहस्ताक्षरी,śahahaśtākshharī
वृष्यकन्द,vrishhyakand
वनाखु,vanākhu
श्रद्धाञ्जलि,shraddhāñajali
शिल्वानुश,shilvānush
अनमद,anamad
भाँड़ैत,bhān̐ait
भाँड़ैती,bhān̐aitī
कि॰,ki
पुनरागमनशील,punarāgamansahīl
अनमन,anaman
अनमना,anamanā
अनमनी,anamanī
अनमने,anamanê
मुखड़ा,mukhā
मुखड़े,mukhê
मुखड़ों,mukhôn
झक्क,jhakk
झक्का,jhakkā
झक्की,jhakkī
झक्के,jhakkê
झक्कों,jhakkôn
सीएनएन,śīanan
अक़रब,arab
मुनिपुष्प,munipushhp
अरब-वासी,araabavāśī
अरब-वासिओं,araabavāśion
मुचामुच,mucāmuc
प्रकर,prakar
प्रकरों,prakarôn
प्रकरी,prakarī
बहुभूज,bahubhūj
जैनशास्त्रानुसार,jainsahāśtrānuśār
फलकृषि,falakrishhi
अधावट,adhāvaṭ
सिंदूरपुष्पी,śindūrapushhpī
अनेह,anêh
अनेहा,anêhā
भ-विषुवांशीय,bhavishhuvānshīy
फ़्रीटाउन,rīṭāun
तिक्ष,tikshh
प्रकश,praksah
ऊंचान,ooncān
प्रकष,prakshah
इंडोनीशिया,enḍônīshiyā
बबई,babi
प्रकस,prakaś
जालतानिका,jālatānikā
संस्फाल,śnśfāl
लंबे-चौड़े,lnbêcauê
जलप्रणाली,jalapraṇālī
कारगाह,kāragāh
कारगाहें,kāragāhên
कारगाहों,kāragāhôn
जी-टी-ओ,jīṭīo
त्रासशील,trāśsahīl
चंद्रसेन,cndraśên
सीएनएस,śīanaś
अग्रेषित,agrêshhit
अग्रेषितों,agrêshhitôn
अपध्वांत,apdahvānt
हृत्शूल,hritshūl
सत्यभेदी,śatybahêdī
लूवीज़ीआना,lūvīīaanā
निहालचा,nihālacā
निहालचे,nihālacê
ऊलना,oolanā
अऊलना,aoolanā
कोडबद्ध,kôḍabaddh
कोडबद्धता,kôḍabaddhatā
भूतुंबी,bhūtunbī
अनुसन्धेय,anuśandhêy
निरवच्छिन्न,niravacchinn
निरवच्छिन्नता,niravacchinnatā
पुगव,pugav
बॅड,bĕḍ
वनोपप्लव,vanôpaplav
अथर्ववेद,atharvavêd
बॅत,bĕt
वर्जक,varjak
विवर्जक,vivarjak
श्रीकाकुलम,shrīkākulam
रचनाहीन,racanāhīn
रचनाहीनता,racanāhīnatā
संकंट,śnknṭ
रपरपाना,raparapānā
चुनटदार,cunaṭadār
रोड़ीदार,rôīdār
अभिसंदेह,abhiśndêh
अभिसंदेहों,abhiśndêhôn
गोजातीय,gôjātīy
काकमर्द,kākamard
दिग्धारण,digdhāraṇ
चक्राट,cakrāṭ
अबलासेन,abalāśên
भुक्कड़,bhukk
ताण्ड,tāṇḍ
पर्णकुटी,parṇakuṭī
इनहेलेटर,enahêlêṭar
पुर्त्तगाल,purttagāl
पुर्त्तगाली,purttagālī
मत्स्यिनी,matśyinī
शोकग्रस्त,shôkagraśt
शोकग्रस्तता,shôkagraśtatā
कपालनालिका,kapālanālikā
त्रिपोलिया,tripôliyā
नीलीय,nīlīy
वित्त,vitt
वित्ता,vittā
वित्ती,vittī
वित्तों,vittôn
वित्तदाता,vittadātā
रायचूर,rāyacūr
रूपप्रक्रिया,rūpaprakriyā
वोपना,vôpanā
कर्णपिशाची,karṇapishācī
नारियल,nāriyal
नारियलवाली,nāriyalavālī
नारियलवालियाँ,nāriyalavāliyān̐
नारियली,nāriyalī
नारियलवाला,nāriyalavālā
नारियलवाले,nāriyalavālê
नारियलों,nāriyalôn
तप्तशूर्मि,taptsahūrmi
निःशेष,niḥ shêshh
निःशेषता,niḥ shêshhatā
शान्तिपूर्ण,shāntipūrṇ
शान्तिपूर्णता,shāntipūrṇatā
करखना,karkahanā
स्मृतिलेख,śmritilêkh
राजहारिल,rājahāril
वर्जन,varjan
विवर्जन,vivarjan
चक्राभ,cakrābh
पोस्तीनदोज़,pôśtīnadô
ख़ासुल,āśul
पारासाइट,pārāśāeṭ
बबर,babar
बबरों,babarôn
बबरी,babarī
उत्तर-पश्चिम,uttaarapsahcim
उत्तर-पश्चिमी,uttaarapsahcimī
आदिक्रम,aadikram
भग्नपोत,bhagnapôt
बबल,babal
बबली,babalī
कीरात,kīrāt
सिराज,śirāj
सिराजी,śirājī
सिराजों,śirājôn
ऐश्वर्यत,aeshvaryat
ऐश्वर्यता,aeshvaryatā
गुदगुदाऊ,gudagudāoo
पंडरा,pnḍarā
अप्रसू,apraśū
अप्रसूता,apraśūtā
आत्मसिद्धि,aatmaśiddhi
मृतकात्मा,mritakātmā
अथॉरटी,athŏraṭī
भोगावली,bhôgāvalī
शिक्षणकला,shikshhaṇakalā
स्वरारूढ़,śvarārū
पैनाला,painālā
सिरात,śirāt
छोटी-मोटी,chôṭīmôṭī
कर्णशोथ,karṇsahôth
मनकला,manakalā
भुशुण्डी,bhushuṇḍī
अंगबद्ध,angabaddh
अगाऊपन,agāoopan
वरोरु,varôru
एंटन,anṭan
एंटनी,anṭanī
ऐंग्विला,aengvilā
वरोरू,varôrū
धनत्रयोदशी,dhanatrayôdsahī
गौसपल्स,gauśapalś
पली-बढ़ी,palībī
सदैव,śadaiv
सदैवता,śadaivatā
सदैवों,śadaivôn
डिसमिस,ḍiśamiś
वॉलीबाल,vŏlībāl
वरप्राप्ति,varaprāpti
दुष्प्रख्यापक,dushhprkahyāpak
दक्षिणानुगमन,dakshhiṇānugaman
प्रलय-रात्रि,pralaayarātri
वाल्क,vālk
गोत्र,gôtr
विगोत्र,vigôtr
गोत्रता,gôtratā
विगोत्रता,vigôtratā
गिरने_वाला,giranêvālā
बहनेली,bahanêlī
हैम्स्टर,haimśṭar
वक़्त,vt
बावक़्त,bāvt
बेवक़्त,bêvt
हमवक़्त,hamaavt
लूतीय,lūtīy
टांडा,ṭānḍā
टांडो,ṭānḍô
सिराल,śirāl
सिराली,śirālī
मैँड़,main̐
स्कधिक,śkdahik
रक्तशोधन,raktsahôdhan
रक्तशोधनों,raktsahôdhanôn
ऐश्वर्यदायी,aeshvaryadāyī
गर्भागार,garbhāgār
गर्भागारों,garbhāgārôn
सेंसेशन,śênśêshan
श्वेतरत्न,shvêtaratn
पित्तकास,pittakāś
कंबोज़ी,knbôī
कांशस,kānshaś
वाटसन,vāṭaśan
साधकबाधक,śādhakabādhak
बहुब्रीहिसमास,bahubrīhiśamāś
वाल्ट,vālṭ
जीवत्पत्नी,jīvatpatnī
वृंदावन,vrindāvan
वृंदावनों,vrindāvanôn
पटैला,paṭailā
पटैली,paṭailī
बालूसाही,bālūśāhī
कर्मर्,karmar
मंगोलताग्रस्त,mngôlatāgraśt
सि्धार्था,śidhārthā
आशुलेख,aashulêkh
आशुलेखों,aashulêkhôn
अधोलिखितत,adhôlikhitat
अधोलिखितता,adhôlikhitatā
मैँ३,main̐
शौकेय,shaukêy
गृहनिर्मित,grihanirmit
शिफ़ौन,shiaun
अरगंट,aragnṭ
किरीतिमाति,kirītimāti
ताधा,tādhā
मॉडिफिकेशन,mŏḍifikêshan
मॉडिफिकेशनों,mŏḍifikêshanôn
नादित,nādit
अनुनादित,anunādit
विनादित,vinādit
भूखहड़ताल,bhūkhaahatāl
तिहेजिया,tihêjiyā
चन्द्रज्योत्सना,candrajyôtśanā
समर्पयिता,śamarpayitā
मार्तड़,mārt
ऐलुमिनियम,aeluminiyam
भाद्रपदीय,bhādrapadīy
टंगवाना,ṭngavānā
गिलट,gilaṭ
गिलटी,gilaṭī
गिलटों,gilaṭôn
दीर्घपवन,dīrghapavan
प्रमु,pramu
कणिकायित,kaṇikāyit
संगीतग्राम,śngītagrām
गुसाईँ,guśāin̐
गुसाईं,guśāin
आर्य्याछंद,aaryyāchnd
लगहर,lagahar
क्लोरमीन,klôramīn
ऐपलैचिअंस,aepalaicianś
नादिम,nādim
अनादिम,anādim
मिथ्याव्यवहार,mithyāvyavahār
अमचूर,amacūr
अमचूरों,amacūrôn
नादिर,nādir
नादिरा,nādirā
नादिरी,nādirī
वाल्व,vālv
वाल्वों,vālvôn
वाल्श,vālsh
उद्यमीय,udyamīy
संकेतपूर्वक,śnkêtapūrvak
अभिभावकत्व,abhibhāvakatv
अभिभावकत्वों,abhibhāvakatvôn
भेदभावहीन,bhêdbahāvahīn
भेदभावहीनता,bhêdbahāvahīnatā
पृथकाचरण,prithakācaraṇ
सप्तलोकमय,śaptalôkamay
गिलन,gilan
गिलना,gilanā
गिलने,gilanê
गिलनों,gilanôn
वाल्स,vālś
कुषित,kushhit
शतपर्व्विका,shataparvvikā
चंद्ररथ,cndrartah
धनदायी,dhanadāyī
अल्थिंग,althing
आर्द्रतामिति,aardratāmiti
कम्पवाई,kampavāi
गिलम,gilam
गिलमें,gilamên
गिलमों,gilamôn
नर-बत्तख,naarabattkah
शरदकालीन,sharadakālīn
जुत्थ,jutth
पुरु,puru
विकास-निरीक्षक,vikāśanirīkshhak
पुरू,purū
ज़ांतोकार्पुम,āntôkārpum
ठँसाने_वाला,ṭhn̐śānêvālā
उद्ग्रहण,udgrahaṇ
उद्ग्रहणों,udgrahaṇôn
मुखाभिव्यंजना,mukhābhivynjanā
चौकटा,caukaṭā
चौकटी,caukaṭī
ऊर्ध्वबिंदु,oordhvabindu
आशुनिबंध,aashunibndh
प्रौढ़क,prauk
निरक्षन,nirakshhan
महाप्रशासक,mahāprsahāśak
महाप्रशासकों,mahāprsahāśakôn
डेलाइट,ḍêlāeṭ
कढाई,kḍahāi
अर्धजीवित,ardhajīvit
मुनिसुव्रत,muniśuvrat
दिगुंच,digunc
भार्यारु,bhāryāru
डीफ़्रौस्टर,ḍīrauśṭar
पुराप्रस्तर,purāpraśtar
जिरह-बख्तर,jiraahabkahtar
भिड़वा,bhivā
भिड़वाइयो,bhivāeyô
भिड़वावे,bhivāvê
भिड़वाई,bhivāi
भिड़वाकर,bhivākar
भिड़वाना,bhivānā
भिड़वाने,bhivānê
भिड़वाता,bhivātā
भिड़वाती,bhivātī
भिड़वाते,bhivātê
भिड़वाए,bhivāa
भिड़वाएगा,bhivāagā
भिड़वाएगी,bhivāagī
भिड़वाएँगीं,bhivāan̐gīn
भिड़वाएँगे,bhivāan̐gê
भिड़वाऊँ,bhivāoon̐
भिड़वाऊँगा,bhivāoon̐gā
भिड़वाऊँगी,bhivāoon̐gī
भिड़वाऊँगीं,bhivāoon̐gīn
भिड़वाइए,bhivāea
भिड़वाइएगा,bhivāeagā
भिड़वाइएगी,bhivāeagī
भिड़वाओ,bhivāo
भिड़वाओगे,bhivāogê
भिड़वाओगी,bhivāogī
ओगाडोगो,ogāḍôgô
फ़हराना,harānā
एलायंस,alāynś
पदाचारी,padācārī
जठर-अग्नि,jṭahaaragni
लोपापिका,lôpāpikā
गणादृत,gaṇādrit
पुरो,purô
पुरोता,purôtā
प्रौढ़ज,prauj
फ़ेरनहाइट,êranahāeṭ
दीर्घास्य,dīrghāśy
निरक्षर,nirakshhar
निरक्षरता,nirakshharatā
निरक्षरों,nirakshharôn
धर्मप्रवचन,dharmapravacan
धर्मप्रवचनों,dharmapravacanôn
फ़ैशनेबुल,aishanêbul
अर्थानर्थापद,arthānarthāpad
अर्थानर्थापदों,arthānarthāpadôn
संप्रपद,śnprapad
अपितरागति,apitarāgati
गिला,gilā
गिलीं,gilīn
गिले,gilê
गिलों,gilôn
गिली,gilī
गिलो,gilô
गिलाएँ,gilāan̐
गिलाओं,gilāon
करोड़खुख,karôkhukh
मार्ग-बोध,mārgabôdh
खाविर,khāvir
